Enter ciphertext: 
All possible decryptions:
Key  0: KHOOR ZRUOG
Key  1: JGNNQ YQTNF
Key  2: IFMMP XPSME
Key  3: HELLO WORLD
Key  4: GDKKN VNQKC
Key  5: FCJJM UMPJB
Key  6: EBIIL TLOIA
Key  7: DAHHK SKNHZ
Key  8: CZGGJ RJMGY
Key  9: BYFFI QILFX
Key 10: AXEEH PHKEW
Key 11: ZWDDG OGJDV
Key 12: YVCCF NFICU
Key 13: XUBBE MEHBT
Key 14: WTAAD LDGAS
Key 15: VSZZC KCFZR
Key 16: URYYB JBEYQ
Key 17: TQXXA IADXP
Key 18: SPWWZ HZCWO
Key 19: ROVVY GYBVN
Key 20: QNUUX FXAUM
Key 21: PMTTW EWZTL
Key 22: OLSSV DVYSK
Key 23: NKRRU CUXRJ
Key 24: MJQQT BTWQI
Key 25: LIPPS ASVPH
